Time (s),FH4 Huracan,FM7 Huracan,FH4 Chiron,FM7 Chiron,FH4 RS7,FM7 RS7
10.6,59.56396,58.9033,72.52106,74.148926,48.346207,48.15683
10.7,59.895218,59.25743,72.99793,74.60699,48.534534,48.445774
10.8,60.215317,59.58227,73.43485,75.0485,48.781654,48.703007
10.9,60.54042,59.902264,73.88723,75.50306,49.082794,48.919
11,60.85728,60.20878,70.97142,75.96883,49.3484,49.202724
11.1,61.16041,60.530716,69.352875,76.41567,49.615612,49.454967
11.3,61.510307,60.866707,69.07525,76.84445,49.882202,49.707996
11.4,61.82808,61.071304,,,50.150368,49.97645
11.5,62.120304,60.95376,,,50.44242,50.271286
11.6,62.417927,61.453278,,,50.708458,50.525627
11.7,62.72402,61.634922,,,50.96963,50.786083
11.8,63.03067,61.924683,,,51.22834,51.04129
11.9,63.336376,62.191105,,,51.49175,51.302097
12,63.6091,62.49123,,,51.782223,51.557518
12.1,63.856747,62.75502,,,52.008682,51.8461
12.2,,,,,52.298214,52.100002
12.3,,,,,52.55326,52.384438
12.4,,,,,52.802017,52.670547
12.6,,,,,53.054653,52.916813
12.7,,,,,53.30214,53.16212
12.8,,,,,53.578888,53.41029
12.9,,,,,53.824425,53.68368
13,,,,,54.066135,53.923428
13.1,,,,,54.305454,54.15844
13.2,,,,,54.542793,54.39837
13.3,,,,,54.81186,54.633007
13.4,,,,,55.04428,54.86296
13.5,,,,,55.2693,55.123993
13.6,,,,,55.503777,55.353058
13.8,,,,,55.732857,55.580845
13.9,,,,,56.010773,55.80875
14,,,,,55.618004,56.026527
14.1,,,,,55.673,56.248936
14.2,,,,,55.47232,56.49889
14.3,,,,,55.851063,56.718487
14.4,,,,,56.04212,56.932896
