PositionX,PositionY,PositionZ
-247.92374,159.84271,2797.1338
-247.92368,159.84265,2797.1335
-247.92381,159.84259,2797.132
-247.92413,159.84264,2797.1296
-247.92436,159.84262,2797.128
-247.91597,159.84193,2797.1797
-247.88675,159.84116,2797.3604
-247.82228,159.84354,2797.7668
-247.74066,159.851,2798.2976
-247.63531,159.86148,2799.009
-247.5124,159.87354,2799.885
-247.35974,159.88754,2801.0637
-247.2171,159.90086,2802.2976
-247.07817,159.9162,2803.718
-246.96379,159.92415,2805.256
-246.84726,159.9259,2806.881
-246.70412,159.92505,2808.8206
-246.53624,159.92465,2810.6428
-246.33113,159.92897,2812.5747
-246.10371,159.93654,2814.6426
-245.8569,159.949,2816.8494
-245.55441,159.97238,2819.544
-245.2625,160.00798,2822.1414
-244.95259,160.0553,2824.9026
-244.62653,160.11473,2827.82
-244.28317,160.1894,2830.9194
-243.88844,160.29819,2834.5713
-243.53824,160.41347,2837.9644
-243.2031,160.53595,2841.399
-242.89134,160.66533,2844.883
-242.61731,160.82056,2848.3533
-242.38786,161.0073,2851.8113
-242.21231,161.2496,2855.7083
-242.1493,161.4961,2859.176
-242.18777,161.77399,2862.6357
-242.33107,162.07997,2866.1165
-242.6007,162.39119,2869.5625
-243.12836,162.74623,2873.3735
-243.84196,163.06282,2876.6677
-244.78357,163.36687,2879.8599
-245.95807,163.65652,2882.9375
-247.3609,163.93625,2885.898
-249.17664,164.23724,2889.102
-250.9233,164.49138,2891.8972
-252.72472,164.7363,2894.7021
-254.5641,164.97662,2897.5427
-256.44388,165.21335,2900.438
-258.60187,165.47484,2903.761
-260.554,165.70712,2906.7698
-262.5403,165.94499,2909.8298
-264.54724,166.18672,2912.9238
-266.57462,166.43816,2916.0647
-268.61273,166.69301,2919.2412
-270.9061,166.98285,2922.8398
-272.9352,167.24835,2926.049
-274.95343,167.52107,2929.2754
-276.94998,167.78697,2932.509
-278.93112,168.05829,2935.7703
-280.91595,168.34308,2939.0813
-283.42224,168.69832,2943.303
-285.45193,168.98625,2946.759
-287.83383,169.34036,2950.881
-290.16238,169.68076,2954.9883
-292.1371,169.97621,2958.547
-294.2126,170.30228,2962.3706
-296.28506,170.62308,2966.2676
-298.38065,170.95293,2970.2998
-300.48428,171.29282,2974.4429
-302.859,171.67569,2979.2363
-304.98453,172.0022,2983.641
-307.08234,172.31413,2988.1365
-309.13794,172.6111,2992.7288
-311.15277,172.87408,2997.437
-313.09677,173.1168,3002.2666
-314.95197,173.33658,3007.1829
-316.94852,173.54634,3012.8606
-318.63855,173.7027,3018.0532
-320.23883,173.83133,3023.3801
-321.73035,173.94255,3028.8225
-323.31595,174.05157,3035.1094
-324.68747,174.13515,3040.822
-326.0594,174.19772,3046.6567
-327.43393,174.22867,3052.5586
-328.83038,174.24155,3058.5957
-330.40503,174.22472,3065.4443
-331.82886,174.16396,3071.6577
-333.2758,174.09564,3077.977
-334.73825,174.01607,3084.3643
-336.2069,173.9343,3090.7788
-337.68716,173.83331,3097.226
-339.38116,173.71756,3104.5686
-340.90524,173.5958,3111.1528
-342.45587,173.44633,3117.8018
-344.03543,173.29346,3124.4531
-345.6521,173.12772,3131.112
-347.52905,172.94171,3138.6553
-349.2521,172.74728,3145.4536
-350.99622,172.53343,3152.2231
-352.7872,172.32788,3159.0415
-354.62796,172.12376,3165.8967
-356.7593,171.86543,3173.604
-358.76147,171.6401,3180.4573
-360.86966,171.38748,3187.1172
-363.18283,171.09006,3193.698
-366.00958,170.66663,3200.9365
-368.75363,170.22891,3207.196
-371.6922,169.72566,3213.2905
-374.8053,169.15839,3219.207
-378.12488,168.55595,3224.9333
-381.61966,167.90477,3230.482
-385.739,167.09727,3236.528
-389.5582,166.31966,3241.7334
-393.52206,165.50009,3246.847
-397.5514,164.66785,3251.8994
-401.64005,163.8345,3256.9473
-406.30627,162.90271,3262.6433
-410.4674,162.0842,3267.6782
-414.69724,161.27385,3272.7563
-418.98145,160.47478,3277.854
-423.32098,159.71233,3282.9507
-428.2928,158.9075,3288.6973
-432.80124,158.24861,3293.8147
-437.3812,157.62872,3298.9368
-441.984,157.03452,3304.033
-446.63937,156.43773,3309.1619
-451.91617,155.77217,3314.9568
-456.64566,155.19264,3320.1323
-461.39545,154.62419,3325.3071
-466.20746,154.06256,3330.5225
-471.05133,153.48434,3335.7314
-475.96524,152.91832,3340.9536
-481.56174,152.28539,3346.8064
-486.58765,151.70232,3351.9712
-491.65613,151.11584,3357.084
-496.77457,150.4987,3362.1782
-501.95074,149.85745,3367.2732
-507.8329,149.13838,3373.0107
-513.0509,148.4928,3378.0715
-518.3081,147.8387,3383.1511
-523.61664,147.184,3388.2666
-528.90784,146.5241,3393.3557
-534.8208,145.80576,3399.0403
-540.55096,145.102,3404.563
-545.9534,144.44904,3409.837
-550.9752,143.85732,3414.9646
-555.6029,143.29645,3420.1572
-559.44464,142.78734,3424.962
-563.00415,142.24078,3429.8975
-566.2748,141.68312,3434.961
-569.3919,141.10486,3440.1497
-572.6815,140.43742,3446.0876
-575.3702,139.8492,3451.5295
-577.7932,139.26,3457.1104
-579.92004,138.6737,3462.818
-581.7611,138.08122,3468.662
-583.3155,137.4816,3474.648
-584.71295,136.81349,3481.5195
-585.6831,136.21559,3487.7507
-586.5031,135.62978,3494.0857
-587.27637,135.04509,3500.4968
-588.0469,134.45001,3507.011
-588.92035,133.75943,3514.424
-589.6852,133.1606,3521.083
-590.42993,132.5572,3527.8445
-591.14825,131.94695,3534.6636
-591.85345,131.32904,3541.5957
-592.6285,130.6347,3549.467
-593.29706,130.01562,3556.5657
-593.93555,129.38792,3563.7178
-594.5407,128.7503,3570.9846
-595.10095,128.16618,3578.316
-595.6346,127.62096,3585.7327
-596.2056,127.07818,3594.1643
-596.66296,126.6566,3601.728
-597.0635,126.27518,3609.347
-597.41284,125.914055,3617.011
-597.723,125.5463,3624.6804
-598.04114,125.073204,3633.369
-598.3039,124.552536,3641.0889
-598.5415,123.959564,3648.706
-598.76196,123.28275,3656.227
-598.9979,122.55996,3663.3936
-599.35455,121.68901,3671.1172
-599.7883,120.86235,3677.6772
-600.46265,120.024025,3684.0664
-601.4181,119.16551,3690.3455
